Time(sec)	CellId	BwpId	IMSI	pathLoss(dB)
1.435	3	0	3	-75.406
1.439	3	0	3	-75.406
1.44	1	0	2	-117.181
1.44	3	0	3	-75.406
1.445	1	0	2	-117.181
1.445	3	0	3	-75.406
1.45	1	0	2	-117.181
1.45	3	0	3	-75.406
1.455	1	0	2	-117.181
1.455	3	0	3	-75.406
1.46	1	0	2	-117.181
1.46	3	0	3	-75.406
1.465	1	0	2	-117.181
1.465	3	0	3	-75.406
1.47	1	0	2	-117.181
1.47	3	0	3	-75.406
1.475	1	0	2	-117.181
1.475	3	0	3	-75.406
1.48	1	0	2	-117.181
1.48	3	0	3	-75.406
1.485	1	0	2	-117.181
1.485	3	0	3	-75.406
1.49	1	0	2	-117.181
1.49	3	0	3	-75.406
1.495	1	0	2	-117.181
1.495	3	0	3	-75.406
1.496	1	0	2	-117.181
1.5	1	0	2	-117.181
1.5	3	0	3	-75.406
1.505	1	0	2	-117.181
1.505	3	0	3	-75.406
1.51	1	0	2	-117.181
1.51	3	0	3	-75.406
1.515	1	0	2	-117.181
1.515	3	0	3	-75.406
1.519	3	0	3	-75.406
1.52	1	0	2	-117.181
1.52	3	0	3	-75.406
1.525	1	0	2	-117.181
1.525	3	0	3	-75.406
1.53	1	0	2	-117.181
1.53	3	0	3	-75.406
1.535	1	0	2	-117.181
1.535	3	0	3	-75.406
1.54	1	0	2	-117.181
1.54	3	0	3	-75.406
1.545	1	0	2	-117.181
1.545	3	0	3	-75.406
1.55	1	0	2	-117.181
1.55	3	0	3	-75.406
1.555	1	0	2	-117.181
1.555	3	0	3	-75.406
1.56	1	0	2	-117.181
1.56	3	0	3	-75.406
1.565	1	0	2	-117.181
1.565	3	0	3	-75.406
1.57	1	0	2	-117.181
1.57	3	0	3	-75.406
1.575	1	0	2	-117.181
1.575	3	0	3	-75.406
1.576	1	0	2	-117.181
1.58	1	0	2	-117.181
1.58	3	0	3	-75.406
1.585	1	0	2	-117.181
1.585	3	0	3	-75.406
1.59	1	0	2	-117.181
1.59	3	0	3	-75.406
1.595	1	0	2	-117.181
1.595	3	0	3	-75.406
1.599	3	0	3	-75.406
1.6	1	0	2	-117.181
1.6	3	0	3	-75.406
1.605	1	0	2	-117.181
1.605	3	0	3	-75.406
