Time	CellId	RNTI	BWPId	SINR(dB)
43.1301	1	1	0	-18.1901
43.1301	3	1	0	24.0017
43.1351	1	1	0	-18.1901
43.1351	3	1	0	24.0017
43.1401	1	1	0	-18.1901
43.1401	3	1	0	24.0017
43.1451	1	1	0	-18.1901
43.1451	3	1	0	24.0017
43.1501	1	1	0	-18.1901
43.1501	3	1	0	24.0017
43.1551	1	1	0	-18.1901
43.1551	3	1	0	24.0017
43.1601	1	1	0	-18.1901
43.1601	3	1	0	24.0017
43.1651	1	1	0	-18.1901
43.1651	3	1	0	24.0017
43.1701	1	1	0	-18.1901
43.1701	3	1	0	24.0017
43.1751	1	1	0	-18.1901
43.1751	3	1	0	24.0017
43.1761	1	1	0	8.91451
43.1801	1	1	0	-18.1901
43.1801	3	1	0	24.0017
43.1851	1	1	0	-18.1901
43.1851	3	1	0	24.0017
43.1901	1	1	0	-18.1901
43.1901	3	1	0	24.0017
43.1951	1	1	0	-18.1901
43.1951	3	1	0	24.0017
43.1991	3	1	0	61.6913
43.2001	1	1	0	-18.1901
43.2001	3	1	0	24.0017
43.2051	1	1	0	-18.1901
43.2051	3	1	0	24.0017
43.2101	1	1	0	-18.1901
43.2101	3	1	0	24.0017
43.2151	1	1	0	-18.1901
43.2151	3	1	0	24.0017
43.2201	1	1	0	-18.1901
43.2201	3	1	0	24.0017
43.2251	1	1	0	-18.1901
43.2251	3	1	0	24.0017
43.2301	1	1	0	-18.1901
43.2301	3	1	0	24.0017
43.2351	1	1	0	-18.1901
43.2351	3	1	0	24.0017
43.2401	1	1	0	-18.1901
43.2401	3	1	0	24.0017
43.2451	1	1	0	-18.1901
43.2451	3	1	0	24.0017
43.2501	1	1	0	-18.1901
43.2501	3	1	0	24.0017
43.2551	1	1	0	-18.1901
43.2551	3	1	0	24.0017
43.2561	1	1	0	8.91451
43.2601	1	1	0	-18.1901
43.2601	3	1	0	24.0017
43.2651	1	1	0	-18.1901
43.2651	3	1	0	24.0017
43.2701	1	1	0	-18.1901
43.2701	3	1	0	24.0017
43.2751	1	1	0	-18.1901
43.2751	3	1	0	24.0017
43.2791	3	1	0	61.6913
43.2801	1	1	0	-18.1901
43.2801	3	1	0	24.0017
43.2851	1	1	0	-18.1901
43.2851	3	1	0	24.0017
43.2901	1	1	0	-18.1901
43.2901	3	1	0	24.0017
43.2951	1	1	0	-18.1901
43.2951	3	1	0	24.0017
43.3001	1	1	0	-18.1901
43.3001	3	1	0	24.0017
43.3051	1	1	0	-18.1901
43.3051	3	1	0	24.0017
43.3101	1	1	0	-18.1901
43.3101	3	1	0	24.0017
43.3151	1	1	0	-18.1901
43.3151	3	1	0	24.0017
43.3201	1	1	0	-18.1901
43.3201	3	1	0	24.0017
43.3251	1	1	0	-18.1901
43.3251	3	1	0	24.0017
43.3301	1	1	0	-18.1901
43.3301	3	1	0	24.0017
43.3351	1	1	0	-18.1901
43.3351	3	1	0	24.0017
43.3361	1	1	0	8.91451
43.3401	1	1	0	-18.1901
43.3401	3	1	0	24.0017
43.3451	1	1	0	-18.1901
43.3451	3	1	0	24.0017
43.3501	1	1	0	-18.1901
43.3501	3	1	0	24.0017
43.3551	1	1	0	-18.1901
43.3551	3	1	0	24.0017
43.3591	3	1	0	61.6913
43.3601	1	1	0	-18.1901
43.3601	3	1	0	24.0017
43.3651	1	1	0	-18.1901
43.3651	3	1	0	24.0017
43.3701	1	1	0	-18.1901
43.3701	3	1	0	24.0017
43.3751	1	1	0	-18.1901
43.3751	3	1	0	24.0017
43.3801	1	1	0	-18.1901
43.3801	3	1	0	24.0017
43.3851	1	1	0	-18.1901
43.3851	3	1	0	24.0017
43.3901	1	1	0	-18.1901
43.3901	3	1	0	24.0017
43.3951	1	1	0	-18.1901
43.3951	3	1	0	24.0017
43.4001	1	1	0	-18.1901
43.4001	3	1	0	24.0017
43.4051	1	1	0	-18.1901
43.4051	3	1	0	24.0017
43.4101	1	1	0	-18.1901
43.4101	3	1	0	24.0017
43.4151	1	1	0	-18.1901
43.4151	3	1	0	24.0017
43.4161	1	1	0	8.91451
43.4201	1	1	0	-18.1901
43.4201	3	1	0	24.0017
43.4251	1	1	0	-18.1901
43.4251	3	1	0	24.0017
43.4301	1	1	0	-18.1901
43.4301	3	1	0	24.0017
43.4351	1	1	0	-18.1901
43.4351	3	1	0	24.0017
43.4391	3	1	0	61.6913
43.4401	1	1	0	-18.1901
43.4401	3	1	0	24.0017
43.4451	1	1	0	-18.1901
43.4451	3	1	0	24.0017
43.4501	1	1	0	-18.1901
43.4501	3	1	0	24.0017
43.4551	1	1	0	-18.1901
43.4551	3	1	0	24.0017
43.4601	1	1	0	-18.1901
43.4601	3	1	0	24.0017
43.4651	1	1	0	-18.1901
43.4651	3	1	0	24.0017
43.4701	1	1	0	-18.1901
43.4701	3	1	0	24.0017
43.4751	1	1	0	-18.1901
43.4751	3	1	0	24.0017
43.4801	1	1	0	-18.1901
43.4801	3	1	0	24.0017
43.4851	1	1	0	-18.1901
43.4851	3	1	0	24.0017
43.4901	1	1	0	-18.1901
43.4901	3	1	0	24.0017
43.4951	1	1	0	-18.1901
43.4951	3	1	0	24.0017
43.4961	1	1	0	8.91451
43.5001	1	1	0	-18.1901
43.5001	3	1	0	24.0017
43.5051	1	1	0	-18.1901
43.5051	3	1	0	24.0017
43.5101	1	1	0	-18.1901
43.5101	3	1	0	24.0017
43.5151	1	1	0	-18.1901
43.5151	3	1	0	24.0017
